mktcode,country,market,crop,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
110,Botswana,Gaborone,Maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076428892,0.045283647,0.054112298,0.063273269,0.015416421,0.029158271,0.027046971,0.030360578,0.061390069,0.072709943,0.081668633,0.087270746,0.095413389,0.074759493,0.113337634,0.128227363,0.144963214,0.143427458,0.124342015,0.152506371,0.498063086,0.24704273,0.260892212,0.27071295,0.271052339,0.307811294,0.376775197,0.366610291,0.341801442,0.393132737,0.393406239,0.400040324,0.403555639,0.412142079,0.448173067,0.424447146,0.439314993,0.398227397,0.410706455,0.42111732,0.427299105,0.442534002,0.426420939,0.397740732,0.388525698,0.350388227,0.324628018,0.322125322,0.317824163,0.320427291,0.316224989,0.314510258,0.314072585,0.303822673,0.288285161,0.294000048,0.295237153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Burkina,BoboDioulasso,Millet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311820051,0.32665676,0.312971217,0.310524996,0.307235268,0.288502817,0.279271258,0.320659883,0.334512259,0.297822855,0.31760571,0.281835866,0.251793373,0.274777781,0.29122855,0.298683935,0.307899175,0.328277208,0.317709546,0.315967953,0.36108944,0.316084863,0.313238525,0.310789428,0.402138896,0.344062987,0.402850976,0.428111687,0.511717939,0.53859841,0.515630085,0.516259451,0.518913941,0.538698747,0.543701759,0.537813154,0.449524044,0.404785045,0.408078818,0.395592467,0.396630859,0.395839019,0.381631321,0.398617515,0.44676437,0.447538791,0.457204229,0.411487158,0
405,Burkina,BoboDioulasso,Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245001469,0.293991084,0.281674096,0.25877083,0.245788214,0.240419014,0.214107965,0.223490222,0.245964897,0.238258284,0.243497711,0.219205674,0.211506433,0.244246917,0.239223452,0.256014801,0.263913579,0.27356434,0.262932038,0.261490719,0.328263127,0.305548701,0.313238525,0.331508723,0.301604172,0.294911131,0.322280781,0.352562566,0.441482144,0.42108603,0.381948211,0.403621025,0.377391957,0.411369952,0.395419461,0.391136839,0.299682696,0.273229905,0.306059113,0.29669435,0.297473144,0.296879265,0.271159097,0.298963136,0.30461207,0.305140085,0.311730156,0.277753832,0
406,Burkina,Dedougou,Millet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246623002,0.246815907,0.236118644,0.264280327,0.308688293,0.35587349,0.360839312,0.343060235,0.39442191,0.366921908,0.310234861,0.225235325,0.254046607,0.278434025,0.282846014,0.301737222,0.300817269,0.309734088,0.35414565,0.358785895,0.36594064,0.361269311,0.340721617,0.289547191,0.337545318,0.312971217,0.310524996,0.296994092,0.298119577,0.307198384,0.310942917,0.334512259,0.307750284,0.275258282,0.281835866,0.271936843,0.274777781,0.28082753,0.320018501,0.329891974,0.317334634,0.306754045,0.326863399,0.328263127,0.316084863,0.292355957,0.310789428,0.341818062,0.334232616,0.362565879,0.402928647,0.431448459,0.470049522,0.477435264,0.469326773,0.490609545,0.489726133,0.494274326,0.488921049,0.349629812,0.354186914,0.387674877,0.375812844,0.376799316,0.366151093,0.351502533,0.378686639,0.385841956,0.386510774,0.374076188,0.360051263,0
406,Burkina,Dedougou,Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246623002,0.246815907,0.247924576,0.264280327,0.296815667,0.35587349,0.360839312,0.343060235,0.39442191,0.326152807,0.271455504,0.204759386,0.243884743,0.254009987,0.277883804,0.301737222,0.290444259,0.299053602,0.321950591,0.347913595,0.332673309,0.293531315,0.28393468,0.256137899,0.304879642,0.292106469,0.28982333,0.266270565,0.250035774,0.223417007,0.223490222,0.245964897,0.248185713,0.254084568,0.25052077,0.221578168,0.234069962,0.249624471,0.256014801,0.263913579,0.262621766,0.251976537,0.261490719,0.28449471,0.273940215,0.302797241,0.290070133,0.331764589,0.314571874,0.34242333,0.372708998,0.401347404,0.381915236,0.381948211,0.375461419,0.396261555,0.391780907,0.345992028,0.312909471,0.259725003,0.283349531,0.306059113,0.306584162,0.297473144,0.277087314,0.261116167,0.27903226,0.284304599,0.284797412,0.290948146,0.28804101,0
407,Burkina,FadaNgourma,Millet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257833139,0.280472621,0.295148305,0.33635678,0.379924053,0.37959839,0.396923243,0.40023694,0.416334238,0.356729633,0.33931938,0.266187202,0.2845322,0.293088447,0.31758149,0.321853037,0.311190278,0.309734088,0.311218905,0.391402794,0.377029751,0.349979645,0.295292068,0.289547191,0.304879642,0.302538843,0.310524996,0.307235268,0.288502817,0.269962216,0.291508985,0.334512259,0.297822855,0.349366281,0.281835866,0.261865108,0.284954736,0.322431609,0.330685785,0.329891974,0.328277208,0.306754045,0.305072506,0.328263127,0.284476377,0.334121093,0.279710485,0.301604172,0.353893358,0.372637153,0.372708998,0.401347404,0.440671427,0.381948211,0.366074883,0.490609545,0.479931611,0.514045299,0.312909471,0.319661542,0.344067288,0.408078818,0.41537209,0.446209716,0.41563097,0.381631321,0.358755763,0.395995692,0.39668211,0.394858198,0.380625621,0
407,Burkina,FadaNgourma,Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257833139,0.280472621,0.295148305,0.312331296,0.368051427,0.37959839,0.396923243,0.40023694,0.405378074,0.285383707,0.232676146,0.225235325,0.254046607,0.263779602,0.277883804,0.301737222,0.311190278,0.299053602,0.311218905,0.391402794,0.377029751,0.349979645,0.295292068,0.289547191,0.293991084,0.292106469,0.28982333,0.286752916,0.269269295,0.260653175,0.291508985,0.295157876,0.277967998,0.296431996,0.25052077,0.231649903,0.259512349,0.28082753,0.298683935,0.307899175,0.306392061,0.284843042,0.283281613,0.317321023,0.284476377,0.313238525,0.279710485,0.2915507,0.334232616,0.34242333,0.352562566,0.381280033,0.372122538,0.3628508,0.337915277,0.396261555,0.411369952,0.345992028,0.273795787,0.27970385,0.293469158,0.295857143,0.316473974,0.347052001,0.326567191,0.301287885,0.298963136,0.324919542,0.325482757,0.311730156,0.28804101,0
408,Burkina,Ouagadougou,Millet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221434898,0.218683797,0.229088147,0.26118443,0.262628082,0.260780623,0.251562931,0.263557701,0.242681078,0.240397421,0.176491283,0.221347787,0.237903594,0.218908958,0.232053862,0.25728672,0.247295413,0.245208323,0.250422484,0.249236816,0.253933483,0.260129948,0.273767549,0.288395796,0.269043275,0.280472621,0.295148305,0.300318554,0.296815667,0.37959839,0.408951221,0.40023694,0.460158895,0.326152807,0.33931938,0.255949233,0.304855928,0.293088447,0.327505911,0.321853037,0.331936296,0.341775545,0.343413964,0.413147394,0.399207971,0.383848643,0.340721617,0.345229343,0.370210994,0.344268339,0.331226663,0.327717619,0.317353098,0.307198384,0.340093815,0.344350855,0.337532569,0.349366281,0.302712597,0.282008578,0.295131691,0.312030589,0.320018501,0.329891974,0.328277208,0.328665048,0.337758846,0.328263127,0.326621025,0.344562378,0.341868371,0.457432995,0.422705955,0.402850976,0.443221511,0.55185268,0.509220315,0.496532674,0.506872915,0.52834874,0.519109701,0.543701759,0.537813154,0.419555774,0.404785045,0.418280788,0.41537209,0.386715087,0.385943044,0.391674251,0.41854839,0.426456899,0.427196119,0.426031214,0.370338442,0
408,Burkina,Ouagadougou,Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212208444,0.218683797,0.219924621,0.223872369,0.24317415,0.231804998,0.222536439,0.234273512,0.203852106,0.192317937,0.196101425,0.221347787,0.218078294,0.199008143,0.201785967,0.246995251,0.247295413,0.245208323,0.229553943,0.228467081,0.253933483,0.260129948,0.262593363,0.260665431,0.257833139,0.258034811,0.271536441,0.27629307,0.332433547,0.332148591,0.360839312,0.354495576,0.39442191,0.305768257,0.290845183,0.225235325,0.274370335,0.273549217,0.322543701,0.301737222,0.311190278,0.320414574,0.321950591,0.391402794,0.377029751,0.349979645,0.318006842,0.289547191,0.32665676,0.292106469,0.28982333,0.286752916,0.269269295,0.242035091,0.25264112,0.255803493,0.248185713,0.275258282,0.25052077,0.231649903,0.244246917,0.27042651,0.277349368,0.274909978,0.27356434,0.27388754,0.272386166,0.306378919,0.305548701,0.313238525,0.331508723,0.361925007,0.353893358,0.352494604,0.372708998,0.421414774,0.401500633,0.381948211,0.384847954,0.415131153,0.411369952,0.345992028,0.293352629,0.299682696,0.283349531,0.326463054,0.316473974,0.317304687,0.286983289,0.271159097,0.318894012,0.324919542,0.325482757,0.311730156,0.298328189,0
201,Burundi,Bujumbura,Maize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257119055,0.290561432,0.300351922,0.35087466,0.360058338,0.365471238,0.363297374,0.307678517,0.305663642,0.306274649,0.306384564,0.304643096,0.288786423,0.320254688,0.332817593,0.339847993,0.346645614,0.334280844,0.336049122,0.336012699,0.334565426,0.326191601,0.274753027,0.317341613,0.317125358,0.310887631,0.307863277,0.308335951,0.30789667,0.304133346,0.298790989,0.320077624,0.318934449,0.317273834,0.382637574,0.383335078,0.408297113,0.404523131,0.395802428,0.39114626,0.380008219,0.371332657,0.370419638,0.370056903,0.320152881,0.329647789,0.287848382,0.378652628,0.385405075,0.386428281,0.469124662,0.483842288,0.484324436,0.507464915,0.53002005,0.487640825,0.324448895,0.344732767,0.358455584,0.366879968,0.377520243,0.391130433,0.40630174,0.430437171,0.489022185,0.443615459,0.405466894,0.406762276,0.40661481,0.365581761,0.48734796,0.487723194,0.486387355,0.496379678,0.483229442,0.479426587,0.498954967,0.53514823,0.607184646,0.556978334,0.50004454,0.512653829,0.5246164,0.514556041,0.567101534,0.585452838,0.601060391,0.63258678,0.652968645,0.622751847,0.611627922,0.603480827,0.594674197,0.641712108,0.646291717,0.650787538,0.650877252,0.626643523,0,0
